#      E (cm^-1)     g    stage   level
         0.000      2.00      0      1
     82531.324      8.08      0      2
     97651.607     18.24      0      3
    102923.254     32.49      0      4
    105358.308     50.81      0      5
    106679.380     73.22      0      6
    107475.257     99.70      0      7
    107991.487    130.27      0      8
    108345.243    164.92      0      9
    108598.187    203.65      0     10
    108785.280    246.46      0     11
    108927.544    293.36      0     12
    109038.236    344.33      0     13
    109126.051    399.39      0     14
    109196.884    458.52      0     15
    109254.849    521.74      0     16
    109302.882    589.04      0     17
    109343.131    660.42      0     18
    109377.190    735.88      0     19
    109406.267    815.43      0     20
    109431.287    899.05      0     21
    109452.973    986.76      0     22
    109471.891   1078.54      0     23
    109488.492   1174.41      0     24
    109503.141   1274.36      0     25
    109516.132   1378.39      0     26
    109527.706   1486.50      0     27
    109538.061   1598.69      0     28
    109547.364   1714.97      0     29
    109555.751   1835.32      0     30
    109563.340   1959.76      0     31
    109570.228   2088.28      0     32
    109576.500   2220.88      0     33
    109582.226   2357.56      0     34
    109587.468   2498.32      0     35
    109592.279   2643.16      0     36
    109596.706   2792.08      0     37
    109600.787   2945.09      0     38
    109604.559   3102.17      0     39
    109608.051   3263.34      0     40
    109611.290   3428.59      0     41
    109614.301   3597.92      0     42
    109617.105   3771.33      0     43
    109619.719   3948.82      0     44
    109622.161   4130.40      0     45
    109624.445   4316.05      0     46
    109626.585   4505.79      0     47
    109628.593   4699.60      0     48
    109630.479   4897.50      0     49
    109632.253   5099.48      0     50
    109633.924   5305.54      0     51
    109635.499   5515.68      0     52
    109636.986   5729.91      0     53
    109638.391   5948.21      0     54
    109639.720   6170.60      0     55
    109640.978   6397.06      0     56
    109642.171   6627.61      0     57
    109643.303   6862.24      0     58
    109644.377   7100.95      0     59
    109645.398   7343.74      0     60
    109646.370   7590.61      0     61
    109647.295   7841.57      0     62
    109648.176   8096.60      0     63
    109649.016   8355.72      0     64
    109649.817   8618.92      0     65
    109650.583   8886.20      0     66
    109651.314   9157.56      0     67
    109652.014   9433.00      0     68
    109652.683   9712.52      0     69
    109653.324   9996.12      0     70
    109653.938  10283.81      0     71
    109654.526  10575.57      0     72
    109655.091  10871.42      0     73
    109655.632  11171.35      0     74
    109656.152  11475.36      0     75
    109656.652  11783.45      0     76
    109657.133  12095.62      0     77
    109657.595  12411.88      0     78
    109658.039  12732.21      0     79
    109658.467  13056.63      0     80
    109658.880  13385.12      0     81
    109659.277  13717.70      0     82
    109659.660  14054.36      0     83
    109660.030  14395.10      0     84
    109660.386  14739.92      0     85
    109660.730  15088.83      0     86
    109661.062  15441.81      0     87
    109661.383  15798.88      0     88
    109661.694  16160.02      0     89
    109661.994  16525.25      0     90
    109662.284  16894.56      0     91
    109662.565  17267.95      0     92
    109662.836  17645.42      0     93
    109663.099  18026.98      0     94
    109663.354  18412.61      0     95
    109663.601  18802.33      0     96
    109663.841  19196.12      0     97
    109664.073  19594.00      0     98
    109664.298  19995.96      0     99
    109675.267      1.00      1    101
